Comment ID,Commenter Name,Comment Text,Comment Time
5.85E+14,Nayan Debnath,"লন্ডনে যেয়ে তোমার বাপ পোদে দিয়ে বাঁশ ঠেলে দেবো। যদি বাংলাদেশের ছেলে থাকো তাহলে আমরা পাঁচ মিনিটের মধ্যে তোমাদের বাংলাদেশ দখল করতে পারি কারণ তোমরা হচ্ছে নিশ্চয়ই মানুষ তোমাদের সঙ্গে কথা বলা না বলে একই কথা পাগল চ**** মত কথা বলিস না যদি কলকাতা দখল করতে আসিস তোদের সবার প্রতি দিয়ে বাঁশ ঠেলে এমনভাবে খাড়ি করে দেবে বাংলাদেশের সব থেকে উচু টাওয়ার যেটা আছে সেটা দেখো দেখতে পারবে যে ওয়েস্ট বেঙ্গল কলকাতার মধ্যে তোদেরকে কেমন করে খারাপ করে রাখছি পাগলচোদা বাংলাদেশী তোদের কোন মানবতা জ্ঞান নয় তোরা খালি উল্টাপাল্টা বকতে পারিস তোদের ভালো করে একটা কোশ্চেন থাপ্পর দিলে তোদের আর মুখ দিয়ে রক্ত বেরিয়ে তোরা মরে যাবি তারপরও তারা উল্টা পাল্টা কথা বলিস। খালি মুখে দাড়ি থাকলে বড় হওয়া যায় না তোদের বুদ্ধি হাঁটুর নিচে থাকে মেয়ে মানুষের মত কারন বাংলাদেশের যত পাগল আছে সব হয়েছে পাগল বাংলাদেশের মানুষ হলো আচোদা বাংলাদেশের মানুষগুলো গান্ডুচোদা বাংলাদেশের মানুষ মাদারচোদ।ইন্ডিয
়ার মানুষ যদি ভাল করে মুতে দে তোরা ভেসে চলে যাবে কারণ আমাদের পশ্চিমবঙ্গের মধ্যে যত মানুষ আছে তোদের বাংলাদেশ হত মানুষ নেই আমাদের পশ্চিমবঙ্গের মানুষ যদি খালি লাঠি নিয়ে বের হয় তারপরও তোরা মরে যাবি তোরা ভাবতে পারিস না তোদের এত সাহস কোথা থেকে আসে চিনার বাংলা পাকিস্তান থেকে যে সাহসগুলো আছে কারণ তারা তোদের কোন সাহায্য করবে না কারণ ইন্ডিয়া এত বড় একটা কারণটি তারা তাদের সঙ্গে তোরা কি পারবে তাদের মানবতা কোনো জ্ঞানই নেই পাগলচোদা",12/8/2024 20:00
2.62E+15,Ajoy Kumar Das,"He has gone berserk and completely mad, suffering from inferior complex ,needs a suitable lunatic Asylum.",12/8/2024 10:00
8.90E+15,Dipak Roy,Baba hoy baba hoy chele chele hoy I love india🇮🇳🇮🇳,12/8/2024 15:00
6.04E+14,Ranjit Roy Basunia,I love india,12/8/2024 21:00
9.60E+14,Zariaa Hassan Mihi,"বিহার, ত্রিপুরা, বাংলা, আসাম, মনিপুর, উড়িষ্যা বাংলাদেশের",12/8/2024 9:00
1.69E+15,Raj Kumar Sharma,"ওনার কথায় যুক্তি থাকলেও থাকতে পারে বিশেষ করে এপারের বাংলার ক্ষেত্রে কারণ আমাদের রাজ্যে কিন্তু বাংলাদেশি রোহিঙ্গায় ভোরে গেছে ।।। তার উপর ওনার অদৃশ্য হাত তো রয়েছেই।। ভুলে গেলে চলবে না এই পার বাংলার স্লোগানও কিন্তু "" জয় বাংলা""...🤔🤔🤔 ব্যাপারটা কিন্তু ভাববার বিষয়",12/8/2024 9:00
1.84E+15,MaalmineRose Yaondura,Sisters my video Nice please nwe video all-time please sister my love thanks harekrishna harekrishna harekrishna harekrishna harekrishna harekrishna I love you so much sister my love thanks India 🇮🇳 I love you so much sister my love thanks,12/8/2024 9:00
5.92E+14,Sima Rani Karmokar,"সবার কথা শুনতে নেই!
তবে,লিখে রাখা ভালো।",12/8/2024 10:00
4.50E+14,Md Arif,"ঘর আছে টয়লেট নাই,
নাগরিকত্ব আছে দাম নাই,
নদী আছে ইলিশ নাই,
মা আছে বাবা নাই,
মাথা আছে ব্রেইন নাই,
জ্ঞান আছে বুদ্ধি নাই,
টাকা আছে কৃপণতার শেষ নাই,
খাবার থাকতেও গোবর খায়,
কোন দেশ এটা আপনি ঠিকই বুঝতে পারছেন!
ধন্যবাদ",12/8/2024 11:00
1.23E+15,ßr Rana,"আমি হয়তো একদিন থাকবো না কিন্তু আমার কমেন্ট গুলো থাকবে আর আমার পরের প্রজন্ম আমার কমেন্ট গুলো পড়বে তাই আমি সাক্ষী দিচ্ছি আল্লাহ ছাড়া কোন মাবুদ নাই হযরত মুহাম্মাদ সাঃ আল্লাহর বান্দা ও রাসূল☺️
📢কালেমার দাওয়াত দিয়ে গেলাম.!
لا إله إلا الله محمد رسول اللّه
""লা ইলাহা ইল্লাল্লাহু মুহাম্মাদুর রাসুলুল্লাহ""
🥰""𝐀𝐥𝐡𝐚𝐦𝐝𝐮𝐥𝐢𝐥𝐥𝐚𝐡""🥰ইতি-মিজানুর রহমান
🖤🍁কালেমার দাওয়াত দিয়ে গেলাম.!
لا إله إلا الله محمد رسول اللّه
""লা ইলাহা ইল্লাল্লাহু মুহাম্মাদুর রাসুলুল্লাহ""
🥰""𝐀𝐥𝐡𝐚𝐦𝐝𝐮𝐥𝐢𝐥𝐥𝐚𝐡""🥰
🖤🍁কালেমার দাওয়াত দিয়ে গেলাম.!
لا إله إلا الله محمد رسول اللّه
""লা ইলাহা ইল্লাল্লাহু মুহাম্মাদুর রাসুলুল্লাহ""
🥰""𝐀𝐥𝐡𝐚𝐦𝐝𝐮𝐥𝐢𝐥𝐥𝐚𝐡""🥰
🖤🍁আমি হয়তো একদিন থাকবো না কিন্তু আমার কমেন্ট গুলো থাকবে আর আমার পরের প্রজন্ম আমার কমেন্ট গুলো পড়বে তাই আমি সাক্ষী দিচ্ছি আল্লাহ ছাড়া কোন মাবুদ নাই হযরত মুহাম্মাদ সাঃ আল্লাহর বান্দা ও রাসূল☺️
📢কালেমার দাওয়াত দিয়ে গেলাম.!
لا إله إلا الله محمد رسول اللّه
""লা ইলাহা ইল্লাল্লাহু মুহাম্মাদুর রাসুলুল্লাহ""
🥰""𝐀𝐥𝐡𝐚𝐦𝐝𝐮𝐥𝐢𝐥𝐥𝐚𝐡""🥰মিজানুর রহমান
🖤🍁কালেমার দাওয়াত দিয়ে গেলাম.!
لا إله إلا الله محمد رسول اللّه
""লা ইলাহা ইল্লাল্লাহু মুহাম্মাদুর রাসুলুল্লাহ""
🥰""𝐀𝐥𝐡𝐚𝐦𝐝𝐮𝐥𝐢𝐥𝐥𝐚𝐡""🥰
🖤🍁কালেমার দাওয়াত দিয়ে গেলাম.!
لا إله إلا الله محمد رسول اللّه
""লা ইলাহা ইল্লাল্লাহু মুহাম্মাদুর রাসুলুল্লাহ""
🥰""𝐀𝐥𝐡𝐚𝐦𝐝𝐮𝐥𝐢𝐥𝐥𝐚𝐡""🥰
🖤🍁",12/8/2024 11:00
1.10E+15,Goutam Das,লন্ডন থেকে এসে এই শিক্ষা দিচ্ছে বাংলাদেশ কে,12/8/2024 12:00
8.30E+14,MH TV,আপনারা একটা পায়খানা তৈরি করতে পারেন না,12/8/2024 10:00
1.19E+15,Madan Nandi,জয় শ্রী রাম,12/8/2024 10:00
1.27E+15,Supada Mondal,তোদের বাল মনে করি।বালের আবার জুলপি,12/8/2024 15:00
8.92E+15,শেখ মোহাম্মাদ সুজন,মলম বিক্রেতার সাংবাদিক,12/8/2024 9:00
1.30E+15,Swapan Chakarborty,বাংলাদেশ দিবাস্বপ্ন দেখছি,12/8/2024 9:00
5.30E+14,Manouar Hossain,"ওর ওপরে যাবার সময় হয়েগেছে, ওই কারণে ভুল ভাল বকছে",12/8/2024 19:00
1.73E+15,Dabu Das,জয়শ্রীরাম📢📢📢📢📢,12/8/2024 10:00
1.24E+15,Sumanta Hajra,জয় শ্রীরাম 🙏🙏🙏,12/8/2024 16:00
5.45E+14,Sangita Mali,Bangladesh mental,12/8/2024 13:00
5.65E+14,Shubho Shubho,একবার সাধারণ মানুষকে ছেরে দিন বাংলাদেশের দিকে।,12/8/2024 13:00
1.31E+15,Raju Ahmed,ওই হইলো আসল রাজাকার,12/8/2024 9:00
1.80E+15,Kamal Ghosh,India mone kole24 ghata somoy lagbe na. Badar.,12/8/2024 11:00
9.42E+14,Appu Biswas,সপ্ন আর স্বপ্নদোষ অনেকটাই আলাদা 😂😂😂😂,12/8/2024 11:00
5.94E+14,Ajay Ajay,এই কুত্তার বাচ্চার কথা শুনে হাসি পাচ্ছে।,12/8/2024 14:00
8.95E+15,Sukhendu Bera,"উনি মনে হয় মদ্যপ অবস্থায় ঘুমোচ্ছেন।মোদিক
ে একদম ঘটাবেন না।তাহলে পুরো দেশ টা না উঠে যায়।",12/8/2024 14:00
5.93E+14,Robin Mojumdur,কলকাতা দখল করার আগে চাচার বিচি খুঁজে খুঁজে পাওয়া যাবে,12/8/2024 10:00
1.63E+15,Ajit Kumar Roy,I love my India,12/8/2024 22:00
5.86E+14,Bivash Debnth,জয় শ্রী রাম,12/8/2024 11:00
2.48E+15,Surjo Roy,"আমি একজন ভারত মা এর সন্তান, তবুও বলছি kolkata দখল হতেও পারে।
কারণ :-ভারত মায়ের বুঁকের ওপর প্রচুর ভারত বিরোধী মনোভাব সম্পূর্ণ মানুষ বসে বসে কাবাব খাচ্ছে।
ভারতের মাঝে বসে আছে ভারত বিরোধী বহু রাজনৈতিক নেতা।
তবে এটাও ঠিক ভারত মায়ের জন্যে প্রাণ দিতে ও নিতেও প্রস্তুত প্রচুর ভারত মায়ের সন্তান,জয় MAA ভবানী",12/8/2024 10:00
5.30E+14,Soumen Ghosh,Joy Sree,12/8/2024 18:00
3.35E+15,Ajoy Kumar Das,2nd yunus of Bangladesh,12/8/2024 10:00
1.27E+15,Islamic Speech BD,আরে বলদ আমরা তোদের মত না খেয়ে নাই।,12/8/2024 11:00
1.13E+15,Ranajit Chatterjee,"OI MAAL TA AAMADER EKJON NSG K DEKHLEI HEART FAIL KORBEY.

PRADIP NIVE JAWAR AAGEY DAU DAU JOLEY TAR DHAP KOREY NIVE JAI, THIK SEI SITUATION",12/8/2024 10:00
2.79E+15,Prantik Das,"Hati chola bazar kurta voka hazar bangladas

I love u India joy sree ram",12/8/2024 10:00
8.56E+15,Kushal Golder,অপেক্ষার অবসান ঘটানো হোক ...🌸,12/8/2024 23:00
6.10E+14,Revan Pramanik,আমরাও জানি বাংলাদেশ কিভাবে দখল করতেই হয় 💥💣👉🏻💣,12/8/2024 17:00
1.26E+15,Tanmoy Halder,Tomra Balar sayanik,12/8/2024 15:00
1.11E+15,Basudeb Karmakar,"চাচা সঠিক ভাবে হাটতে পারেন না
কোলকাতা দখল করবে।
আগে লঙ্কার চাষ করেন চাচা",12/8/2024 9:00
2.52E+15,Debjit Pal,বাংলায় একটা অনুবাদ আছে পিপীলিকার পাখা গজায় মদিনার তলে এই বাংলাদেশে সব একরকম তারকাটা পাগলামি,12/8/2024 14:00
8.88E+14,Sourav Mondal Gopal,তুই লন্ডনে থাকো আর উগান্ডায় থাকো আগে আহো ভাতিজা যখন ইন্ডিয়ান আর্মির সামনে পড়বে সব ভুলে যাবে যে কোথায় ছিলে 😂,12/8/2024 13:00
2.32E+15,Subhendu Sheth,"দোষটা ওদের নয়, দোষটা আমাদের দেশের সরকারের!! ভারত সরকারের মৌনতা ওদের সাপের পাঁচ পা দেখতে সাহায্য করছে!!",12/8/2024 9:00
2.59E+15,Chiranjit Ghosh Chiranjit Ghosh,সাতদিন নয় ৫০ বছর চলে গেলেও তোমরা জয় করতে পারবে না। ছেড়া লুঙ্গি দেশ বাংলাদেশ 😭😭😭,12/8/2024 11:00
8.12E+14,Soumen Ghosh,Joy Sree Ram,12/8/2024 18:00
1.18E+15,Ankur Debnath,ভারতের মানুষ হিসু করে দিলে বাংলাদেশ ভেসে যাবে।,12/8/2024 18:00
2.45E+15,Basudeb Mandal,Very funny 🤣🤣,12/8/2024 12:00
1.28E+15,Manoj Pal,পাগল ছোদা পাগলের দল বাংলাদেশের মানুষ,12/8/2024 12:00
9.24E+14,নূর নবীজীর গুনাহগার উম্মত,ইসলাম জিন্দাবাদ জিন্দাবাদ জিন্দাবাদ 🕋🤲🥹,12/8/2024 16:00
4.52E+14,Md Prokash,লন্ডন থেকে বা*** পালাইতে আসছে,12/8/2024 9:00
1.89E+15,Biplob Sharma,জয় বাংলা,12/8/2024 9:00
1.12E+15,Rabindra Sikadar,জয় জয় শ্রীরাম 🚩🚩🚩🚩,12/8/2024 11:00
9.56E+14,Mantosh Das,আমি হিসু দিলে বাংলাদেশ দখল হয়ে যাবে,12/8/2024 12:00
1.11E+15,Ajoy Kumar Das,The cheapest labour country of the world,12/8/2024 10:00
9.37E+14,Sanjoy Barui,কে হরি দাস পাল রে 😂😂😂😂,12/8/2024 13:00
4.48E+14,Prasanjit Maity,"এ বুড়ো বলতে বলতে কেঁপে যাচ্ছে ,সে কি করে কলকাতা দখল করবে 😄😄😄",12/8/2024 11:00
5.88E+14,স্বপ্নের রাজকুমার,Wow. Nice. 🇵🇰🇵🇰🇵🇰🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇵🇰🇵🇰🇵🇰🇵🇰🇧🇩🇧🇩🇧🇩,12/8/2024 10:00
1.11E+15,Panna Mayra,Bal chirbi,12/8/2024 14:00
5.67E+14,Ratan Mondal,এই ক্যাংলাদেশ মূর্খ সব কি কই না কই এরা নিজেরাই জানে না 🤣🤣🤣কিছু দিন আগে ফারাক্কা সামনে বাঁধ দিয়ে দিয়ছে এখন আবার কি কই বান চোড গুলো কি কই না কই কংলাদেশ 🤣🤣🤣আলু কিনা টাকা নাই যুদ্ধ।।তোদের সাথে যুদ্ধ করা লাগবে না তোরা নিজেরাই নিজেদের সাথে মারা মারি করে মরে যাবি 🤣🤣🤣,12/8/2024 13:00
1.10E+15,Dipankar Dutta,"বুড়োর ভিমরতি হয়েছে। ভারতীয় সেনা, পশ্চিমবঙ্গ পুলিশ তো দূর অস্ত,পশ্চিমবঙ্গ
ের সিভিক যথেষ্ট।",12/8/2024 12:00
1.30E+15,আগামী অপেক্ষা,এই ব্যক্তি টাকে দেখে বোঝা যাচ্ছে উনি লন্ডনে । থাকে ঠিক কিন্তূ লন্ঠন জ্বালিয়ে কুত্তা চরাতেন। আসলে দাদা ওনার মাথা ঠিক নেই,12/8/2024 10:00
3.90E+15,Kishore Kumar Bhadra,জয় শ্রীরাম,12/8/2024 11:00
5.34E+14,Minush Debbarma,Tripura তোমার বাবার জায়গা না।এত সহজ হবে না জীবনে অসম্ভব বাংলাদেশ খুব সাবধানে কথা বলেন tripura তে দেববর্মা জাত আছে সাবধান।,12/8/2024 13:00
3.83E+15,Dipankar Ghosh,জয় শ্রী রাম,12/8/2024 11:00
1.52E+15,Biswanath Roy,যদি দম থাকে বাংলা দেশ বোড়ার পার করে দেখেও তাহলে বুজবো দেখি কত দম,12/8/2024 9:00
1.13E+15,Dipankar Dutta,ঐ বুড়োর পেছনে বোফর্স এর গোলা দিয়ে সোজা লণ্ডনে পাঠিয়ে দিতে হবে।,12/8/2024 13:00
1.24E+15,Dilip Paul,"মানুষের রক্ত কাজ করছে না, অন্য কিছু",12/8/2024 11:00
1.30E+15,Ratan Mondal,আমাদের কোলকাতার ব্যাঙে যদি পেশাব করে তাহলেই তো বাংলাদেশ ভেসে যায় আবার কলকাতা দখলের স্বপ্ন 😃😃😃😃😃😃😃😃😃,12/8/2024 15:00
9.37E+14,Mizanur Rahman Mridha,আসলে এই প্রাক্তন সেনা কর্মকর্তারে গাজা খাওয়াইয়া ঘুমিয়ে রাখুন।,12/8/2024 10:00
1.29E+15,Shreya Ghosh Paul,Ki bolbo bujte parchina tobe Bap Bapehoy,12/8/2024 16:00
5.74E+14,Misti Debnath,বাংলাদেশর লোক পাগল হয়ে গেছে🤣🤣,12/8/2024 11:00
3.94E+15,Raju Mondal,Sorer bachara Amara jodi toder deser opor diye hate gele Tora more jabi .Yunos ke bole dis,12/8/2024 14:00
2.03E+15,Chanchal Halder,তোদের জন্য কলকাতার সোনাগাছি ফাকা আছে,12/8/2024 18:00
1.62E+15,Sukumar Dutta,"উইনুস তো জঙ্গী তৈরি করার কারখানা খুলেছে।১৮ কোটি বাঙালি মানুষের জীবন, সম্পদ ও ভবিষ্যৎ নিয়ে ধ্বংসের খেলায় মেতে উঠেছে। বাংলাদেশের শিক্ষিত, শুভবুদ্ধি সম্পন্ন মানুষের উচিত উইফোড় চাইনুসকে ফাঁসিতে ঝোলানোর সময় এসেছে।",12/8/2024 12:00
2.42E+15,Kuntal Chakraborty,"Addhek Kolkata -er lok jodi Mati theke dhil tule Bangladesh-e chore, ota dokhol hoye jabe. Lungidesh lungi chere bhoye dhuti khujbe.",12/8/2024 10:00
9.08E+14,Abhi Aquarium,Laura benladesh,12/8/2024 13:00
1.84E+15,Mitali Biswas,ওরে কে আছিস ওকে এক গ্লাস লেবু জল দে ওর অবস্থা খুব খারপ 🤣😂🤣😂🤣🤣,12/8/2024 12:00
2.34E+15,Pralay Mondal,এক প্রকার কলকাতা দখল করে নিয়েছে। আমরা যদি এখনো উদাসীন থাকি।,12/8/2024 10:00
3.46E+15,Chiran Das,ওরা যদি আমাদের সাথে যুদ্ধ করতে চায় তাহলে আমাদের কোন হাতিয়ারের দরকার নেই মুতে দিলেই বাংলাদেশ শেষ 😂😂😂,12/8/2024 16:00
6.22E+14,Suporna Parui,জয় শ্রী রাম।। আবারো বোলবো।।,12/8/2024 20:00
4.82E+14,বাড়ির ছোট ছেলে,"বাংলাদেশের মারা পাখনা গেজছে 😡😡
আরে আমাদের West Bengal মানুষ মুতে দিলে বাংলাদেশ ডুবে যাবে 😂🤣🤣",12/8/2024 13:00
1.24E+15,SusAnta Das,আমাদের ভারতবর্ষে যা জনসংখ্যা আছে আমরা হিসু করে বাংলাদেশকে ভাসিয়ে দেবো।,12/8/2024 11:00
6.11E+14,Naru Gopal Ghosh,পাগল নাকি?,12/8/2024 10:00
4.49E+14,Utpal Pal,চাচা আস্তে চেচান টুনটুনি খুলে পড়ে যাবে। পাগলের প্রলাপ,12/8/2024 12:00
1.34E+15,Sakir Al Amin,মলম বিক্রির সাংবাদিক,12/8/2024 16:00
8.79E+14,Avijit Saha,"Pagol, chhagol,verar dol",12/8/2024 9:00
9.73E+14,Subho Roy,Kolkata Ashley rasgulla Khao,12/8/2024 10:00
5.55E+14,Babai Nag,Kolkata ki lungie-r tolar alu naki je chailei dakhol kora jay 🤣🤣🤣,12/8/2024 21:00
1.30E+15,Bikash Barman,মোহাম্মদ ইউনু স পালিয়ে যাও।,12/8/2024 13:00
1.27E+15,Islam Uddin,"বাংলাদেশের কিছু কিছু পাগল আছে
ইন্ডিয়ার ও কিছু কিছু পাগল আছে
দুইটা দেশকে তারা অস্থিশিল করে রাখার জন্য
যথেষ্ট",12/8/2024 12:00
5.91E+14,সফিরুল সেক,Bangladeshi,12/8/2024 12:00
3.85E+15,Dilip Paul,"সবাই তেল গরম করে রাখো, কিমা বানিয়ে খাওয়া হবে",12/8/2024 11:00
4.84E+14,Ranajit Chatterjee,"EI HANGLA DER K JABDO KORTE AAMADER SENA BAHINI PROYOJON HOBEY AAMRA KOLKATA BADI RAI JATHESTO,",12/8/2024 10:00
1.10E+15,Chiran Das,আমরা যদি মুইতা দেই তাহলেই বাংলাদেশ শেষ ওদের অস্তিত্ব খুঁজে পাওয়া যাবে না এত ফুরফুর ভালো না বাংলাদেশ যেন বেশি ফুরফুর না করে তাহলে তিস্তার গেট সবগুলা উঠায় দিবো 🤣,12/8/2024 16:00
5.23E+14,Tapash Sarkar,কানের নিচে ধাপ্পোর না খাওয়া পর্যন্ত ওরা ভুলভাল বকতে থাকবে।,12/8/2024 12:00
